Time (UTC),Post URL,Post Content
2023-10-24 17:38:44,https://www.tradingview.com/chart/chart/DKNG/ChFwgdf6-DKNG-10-13-2023/,"DKNG   Price was in an uptrend from January '23 through July '23.   It then started to move sideways between July '23 and September '23, forming lower highs into the trendline.   The uptrend was finally broken in late September '23/early October '23.   Now, the price finds itself at the resistance level of the previous uptrend and at the downtrend line created by the lower highs observed between July '23 and September '23. Additionally, there is an engulfing candlestick pattern in this area. This serves as my cue to enter a short trade.   Entry: 29.37   Stoploss: 33.56, -14.27%   Target: 20.78, +29.25%, 2.05 RR ratio"
2023-10-24 23:58:14,https://www.tradingview.com/chart/chart/TSLA/1wMcgWHu-TESLA/,"i am flipping to bullish  perspective if we develop the 5th wave.   My macro SNP 500 is gravely bearish chart . And my bias was that it will pull Tesla down with it.   However, Tesla dropped in what it seems  3 wave move, and now if we make small impulse here, it will change my opinion about shorting the TSLA stocks."
2023-10-25 15:27:14,https://www.tradingview.com/chart/chart/WBD/I6YTlqzy-WBD-bottoming-in-progress-Huge-wave-up-possibly-starting-soon/,"WBD has put in a huge wave 1 as an impulse and then retraced back almost perfectly to the 0.786 fib retracement (some room left, thats the alternate wavecount in yellow, but less probable for now).   Some small divergence already starting to show up, despite we are under the meaningful moving averages (9/21/50/52/180/200 day MA's). Likely the huge wave 2 already in, from which we already have a smaller wave 1 up, from which we likely pulled back as a wxy/abc to today's price action.   We are sitting now on a critical level, I could make 2 scenarios for this drawdown cycle, counting either as an impulse, or an overall diagonal for the last wave. This means eather we have bottomed/near bottomed today (tomorrow), OR 1/2 small zigzag swinglow is still arriving, watch around the 9.50-10.00 USD levels.   Below 9.40 the yellow route gaining more momentum.   This now has a huge potential, so worth tracking, risk to reward getting very very good now.   Important to watch what happens with SPX as it is also at a major critical point now."
2023-10-24 20:16:39,https://www.tradingview.com/chart/chart/KSS/oC02sJQL-Weirdness-in-KSS-tgt-38-Then-short-it-big/,"This stock has something up with it. Super strong despite weakness in indexes. It came originally as an intuition stock a number of weeks ago and hit my level & bounced well.   I think my attention was draw to it because it's having a crazy move up, which the daily is demonstrating now.   However, it might get crazier because I have information from my dowsing saying it's going to around $38-39 over the next 3-4 weeks.   Earnings aren't until Nov. 21 (a.m.)   It may be some kind of manipulation or something. I'm thinking of what happened to BBBY. The most important things to know per my dowsing is that there is a bull trap and a breakdown coming of the daily chart.   I was getting a bunch of different dates for Nov. and not real consistent, but out 3-4 weeks.   We'll see how this plays out as it's got fairly unusual vibe."
2023-10-24 23:55:48,https://www.tradingview.com/chart/chart/QQQ/cBP4R0sM-QQQ-what-will-it-be/,"QQQ   bounced off of the lower trendline in a descending wedge.    If it can break out of that wedge, it is not hard to imagine it making it to $391. For the near term, I think it could get to $367 - $370 area.   Until you see a breakdown below $348, I think it looks good for the bulls.   Key Levels:   - Watch $375 for bullish breakout.    - Watch $348 for bearish breakdown. "
2023-10-25 13:48:25,https://www.tradingview.com/chart/chart/AMD/NNNxfpqv-AMD-about-to-collapse/,AMD in a massive falling wedge. Looks like it will break by tomorrows open. I'm assuming Powell will be the cause.
2023-10-24 19:01:39,https://www.tradingview.com/chart/chart/PCAR/EPo1Eb48-PCAR-Update/,"Went long today, I still think it's repeating the highlighted area..... which would make sense.  I think the whole market bounces up Monday because it's oversold and hit support, then a small gap up Tuesday followed by selloff and double bottom next week.   Just a guess, I'd rather have it go pumptarded and fill that open gap up top, lol.  Either way, I'm bullish for earnings, hope I'm right."
2023-10-24 13:16:57,https://www.tradingview.com/chart/chart/INTC/M0rx1w79-INTC-Intel-Corporation-Options-Ahead-of-Earnings/,"If you haven`t bought the Double Bottom on INTC here:   Then analyzing the options chain and the chart patterns of INTC Intel Corporation prior to the earnings report this week,   I would consider purchasing the 34usd strike price Puts with   an expiration date of 2024-1-19,   for a premium of approximately $2.56.   If these options prove to be profitable prior to the earnings release, I would sell at least half of them.   Looking forward to read your opinion about it."
2023-10-24 11:51:06,https://www.tradingview.com/chart/chart/PYPL/wQGbMhMj-PYPL-immediate-support-levels-below/,"No doubt, that this week is not only going to be important to the overall markets.   While   PYPL   is, once again, at crucial support.   To me, the $49 area (.all time .786 on Log) remains a key point.   Closing the gap below that zone is kinda fine but already pretty overcrowded & obvious - making me leaning more to expect bears squeezing things further down. (e.g. after a little relief rally)."
2023-10-24 14:42:26,https://www.tradingview.com/chart/chart/XLP/wKTcaIMZ-Introduction-to-Relative-Strength-Part-3/,"In parts one and two (linked) we discussed the construction and use of relative strength ratios (RS) in trading and analysis, common errors, and best practice. In part three we look at the consumer discretionary to consumer staples ratio and attempt to draw trading and economic insight from that analysis.   Any method used to analyze a single security price chart can be used to analyze ratios. I tend to use simple methods and I do not require the same precision in terms of retracements and support/resistance that I would use when analyzing or trading a single security.   Consumer Discretionary (XLY) / Consumer Staples (XLP):   I generally think about this ratio in two ways. The first, and for my purposes, the most important, it reflects the markets judgement around the strength of the economy. When the economy is improving, as it has over the last few months, the ratio should weaken (which it has done). This is because as discretionary income rises, confident consumers are more likely to spend on non-essentials or staples. When they are less confident, they spend less on non-essential discretionary and more on staples. It is important to remember that consumption is around 70% of GDP. For economic or macro analysis, I prefer to use monthly perspective charts.   I believe that the long outperformance of discretionary relative to staples is mostly due to the massive liquidity added to the system since the great financial crisis. The liquidity that has aided consumers and thus the economy in general. As liquidity normalizes and the economy slows, staples should begin to outperform discretionary.   The second is creating a tradable spread. Creating proportional spreads (see part two) between two sector ETF's, expressing trades that overweight or underweight specific sectors inside a portfolio, or creating pairs trades using names within the two sectors are all legitimate uses of ratios. When creating pairs trades inside a sector my preference is to use each sectors market largest capitalization names (market generals) as they are less vulnerable to idiosyncratic risk. I also prefer to pair names with similar businesses. For instance, I would not pair Walmart (staples) with Tesla (discretionarily) but would consider Walmart or Costco verses Amazon.   One final thought, profitable spread trades can be structured using either highly positive or negatively correlated pairs. What fails to work consistently are spreads with spurious correlation.   Chart 1 TOP: Monthly Consumer Discretionary (XLY) in ratio to Consumer Staples (XLP): Top Panel: Close line charts for both ETFs.   Since XLY on the left scale trades at over two times the price level of XLP (172 verses 72), XLP has been compressed in order to easily compare the paths of the two symbols. Clearly both staples and discretionary have significant positive long-term correlation as they follow the larger market higher and lower. The high degree of correlation suggests that the two markets can be generally expected to trend together, but at varying rates depending on the consumer/economic outlook.  It is the difference in the rates of change that creates the profit or loss.   Monthly: Technically, the ratio topped in October 2008 and since 2011 has trended lower in a well-defined channel. That channel was broken in March 2022 as inflation exploded higher and the Federal Reserve began to tighten monetary policy (both actions hurt discretionary spending).   Over the last few months, as the outlook improved and the economic narrative changed to soft landing, the ratio has again turned lower and is now testing the area of the broken trendline that defined the broad down sloping channel.   MACD momentum remains on a sell signal.  In this perspective, I view the chart at an important juncture from which a sign of either strength or weakness is likely to define the trend for the next year.   Weekly Detail: Note the narrow Bollinger band and the turn higher over the last few weeks. A break above the lateral resistance coupled with a break of the downtrend would strongly suggest that staples are likely to outperform over coming months.   As a last step, I like to examine the raw bar charts on both sides of the spread. In this case, like the general market, both look weak. Discretionary is retreating from the top of its range while staples are resting at good support. The concern here would be that a breakdown from a long range of distribution would likely generate significant selling and imply significantly lower lows.   Conclusion: I suspect that the spread is in the process of bottoming and that, as the economy weakens over the next few months, staples will outperform. But, overt proof of a turn higher is lacking. While the recent hook higher is promising, it needs to move above the overhead resistance. If it does, odds become very good that the economy is weakening and that staples will enter a significant cycle of outperformance.   And finally, many of the topics and techniques discussed in this post are part of the CMT Associations Chartered Market Technicians curriculum.   Good Trading:   Stewart Taylor, CMT   Chartered Market Technician   Taylor Financial Communications   Shared content and posted charts are intended to be used for informational and educational purposes only. The CMT Association does not offer, and this information shall not be understood or construed as, financial advice or investment recommendations. The information provided is not a substitute for advice from an investment professional. The CMT Association does not accept liability for any financial loss or damage our audience may incur"
2023-10-24 18:49:05,https://www.tradingview.com/chart/chart/AMD/quJZNljq-AMD-Inverted-H-S-4H/,"AMD on the 4 hour chart is creating a possible head and shoulders pattern at a demand/support zone (Blue zone).   Additional confluences:   - Falling wedge at a key support/demand zone   - RSI bullish divergence (Illustrated by blue slanted lines.)   - MACD histogram bullish divergence (Illustrated by blue slanted lines.)   - 4H candles creating a double bottom at the base of falling wedge   Swing Idea: I will watch for price to move above the next resistance at the yellow zone between ($101.46 - $101.72). Creating a higher high than higher low before holding above the yellow zone. This move is Illustrated by the solid black line with the arrow. Being that this is an inverted head and shoulders pattern, I am looking to swing to the neckline which is located at the next major resistance at the red zone above between ($111.09 - $111.77). Stop loss is daily timeframe candle close below $99.07.   TARGETS: $104.67, $106.93, $109.85   STOP LOSS: $99.07   CAUTION: AMD has earnings reporting on October 31st so this will either destroy this trade or put us deep in profit."
2023-10-24 18:53:18,https://www.tradingview.com/chart/chart/COIN/0JJQDE4w-A-variant-of-the-development-of-events/,The 5th wave is looming on fibo. The purpose of the movement in the area of 140$
2023-10-25 07:57:03,https://www.tradingview.com/chart/chart/AAPL/B54710Fg-APPLE-Last-BUY-opportunity-before-a-new-18-month-expansion/,"Last time we looked into Apple (AAPL), it was still trading within the 2023 Channel Up (see chart below) and gave us an excellent technical pull-back buy opportunity:   This time the stock is after a 3-month pull-back that is testing the 1W MA50 (blue trend-line) for the first time since the week of March 13. On the wider picture of Apple in the last 10 years (1W time-frame), such pull-backs have been nothing more that consolidation phases before the next Expansion (usually 18 month - green arrows) that leads to the eventual peak and a new yearly correction (red arrows).   Those consolidation phases find Support on the 1W MA50 (even the COVID crash broke it just marginally), unlike the yearly corrections which find on the 1W MA200 (orange trend-line). What's astounding is the frequency of the consolidation pull-backs, which can be very effectively displayed with the use of the Sine Waves. As you can see on our chart, in the last 10 years, all pull-backs to the 1W MA50 after a 1W MA200 rebound, are located at the bottom of the Waves.   This indicates that most likely the current one is over and investors are expected to 'ride' the new 18-month Expansion wave to the new All Time High.   -------------------------------------------------------------------------------   ** Please LIKE , FOLLOW , SHARE  and COMMENT  if you enjoy this idea! Also share your ideas and charts in the comments section below! This is best way to keep it relevant, support us, keep the content here free and allow the idea to reach as many people as possible. **   -------------------------------------------------------------------------------           "
2023-10-25 06:21:53,https://www.tradingview.com/chart/chart/XLE/Exmav3eP-Technology-to-Energy-Ratio/,Everything is cyclical. Every asset has its own cycle eventually in its own time. From Crypto to Real estate and Technology.   I crossed compared the Energy sector to the Technology Sector. XLE/QQQ   Then overlaid the Technology Sector to the Energy Sector QQQ/XLE   As you can see there is many clues where one will always outperform the other.   You just have to hold these assets where one is gaining vs the other.   One asset will suck the liquidity of the other and visa versa until one completes the cycle then it repeats   Hard assets are primed for outperformance.   Happy Investing
2023-10-24 18:36:48,https://www.tradingview.com/chart/chart/GOOGL/sZj3fdEX-2-scenarios-for-earnings/,"Case 1: We are in wave B of an expanded flat, post earnings pop to 143-144 and then drop to 128 by 11/6   Case 2: Drop from current level (138) to 125-128 before 11/3 expiration   ** The play **   - 2:1 puts to calls Nov 3 135 puts for 2.60 and Nov 3 142 calls for 2.80   - If case 1 plays out, sell the calls to break even and enter Nov 9 138 puts   Not financial advice"
2023-10-24 17:10:28,https://www.tradingview.com/chart/chart/GOOG/yLXl1Rjv-GOOG-Sympathy-Move-Ahead-of-Earnings-Today/,"The run down to Monday was a sympathy run. It doesn't mean that   GOOG   is headed for a bad report. Rather, retail investors are selling ETFs or moving money out of stocks into safe havens, or other adjustments to portfolios and 401(k)s. The selling dug into the most recent weak support level.   However,   GOOGL   has not sent out any advisor in recent weeks regarding its earnings report. Any company this size, and as a veteran company of the stock market, would warn if earnings were going to miss the retail-side analyst estimates. So this is a sympathy move merely because the retail-side selling is moving big-name companies down at this time.   If it has a great earnings report,   which the previous runs suggest   , then the HFTs may trigger a gap up at open tomorrow. Alphabet had improvement in its quarterly report last quarter. Yearly revenues have been up for 4 years but earnings are up and down as it invests hugely in AI."
2023-10-25 02:57:39,https://www.tradingview.com/chart/chart/NVDA/jk8MawrM-NVIDIA-Intraday-Prediction-October-24th-2023/," Buy Above - 431     Sell Below - 428     Levels Works Best on 5 Minutes Time Frame     MARKET SECRET    1. Trade What You See & Not What You Assume   2. Follow The Trend Because Trend is Your Only Friend   Our motto is to help each and every individual to reach and achieve their financial goals across the world by empowering individuals with the accurate knowledge and skills necessary to navigate the complexities of the financial markets successfully.    Please NOTE  Levels shared are for intraday trading only.    Disclaimer  All information shared here is for educational purposes only, Please consult your financial advisor for your financial matters before investing And taking any decision. We are not responsible for any profit/loss you make.   Request your support and engagement by like, comment & follow to provide encouragement   CHEERS "
2023-10-25 13:58:48,https://www.tradingview.com/chart/chart/TSLA/gokaaBzI-TESLA-INC-TSLA-Intraday-Prediction-October-25th-2023/," Buy Above - 216     Sell Below - 214     Levels Works Best on 5 Minutes Time Frame     MARKET SECRET    1. Trade What You See & Not What You Assume   2. Follow The Trend Because Trend is Your Only Friend   Our motto is to help each and every individual to reach and achieve their financial goals across the world by empowering individuals with the accurate knowledge and skills necessary to navigate the complexities of the financial markets successfully.    Please NOTE  Levels shared are for intraday trading only.    Disclaimer  All information shared here is for educational purposes only, Please consult your financial advisor for your financial matters before investing And taking any decision. We are not responsible for any profit/loss you make.   Request your support and engagement by like, comment & follow to provide encouragement   CHEERS "
2023-10-24 07:45:47,https://www.tradingview.com/chart/chart/AAPL/mPNcAkas-AAPL-TWO-short-positions/,"hello guys...   as you can see appl is on the descending channel as well.   Before that made two divergences by RSI!   there are two opportunities for getting a short position and I draw it!   _______________________________   always do your research.   If you have any questions, you can write them in the comments below, and I will answer them.   And please don't forget to support this idea with your likes and comment"
2023-10-24 18:51:39,https://www.tradingview.com/chart/chart/AAPL/1CbVOP07-AAPL-Break-Might-be-Coming/,"Short AAPL 173   Stop 179   Target 160   AAPL has been setting up for a possible break for a while and we might be heading into it now. Swings breaking 1,61 supports can be especially strong."
2023-10-25 14:02:44,https://www.tradingview.com/chart/chart/NVDA/uJCISuHW-NVIDIA-Intraday-Prediction-October-25th-2023/," Buy Above - 431     Sell Below - 428     Levels Works Best on 5 Minutes Time Frame     MARKET SECRET    1. Trade What You See & Not What You Assume   2. Follow The Trend Because Trend is Your Only Friend   Our motto is to help each and every individual to reach and achieve their financial goals across the world by empowering individuals with the accurate knowledge and skills necessary to navigate the complexities of the financial markets successfully.    Please NOTE  Levels shared are for intraday trading only.    Disclaimer  All information shared here is for educational purposes only, Please consult your financial advisor for your financial matters before investing And taking any decision. We are not responsible for any profit/loss you make.   Request your support and engagement by like, comment & follow to provide encouragement   CHEERS "
2023-10-25 04:47:42,https://www.tradingview.com/chart/chart/META/mNpwl3Qe-META-Implied-Move-for-Earnings/,"META   Earnings Implied Move   So Metas Implied move for earnings is between 287.50 and 340 28 dollars in each direction.   And if you are wondering, the implied move is calculated using options...   I did a volume analysis for the year and I feel like Im going to play downside for earnings tomorrow   This is not an in depth analysis, just the implied move for record.  Happy trading, yall."
2023-10-24 18:49:03,https://www.tradingview.com/chart/chart/TSLA/cVbwE3if-TSLA-Short-Could-be-a-sharp-dump/,Short TSLA 216   Stop 229   Target 180   TSLA took a big dump off the butterfly pattern and this recent small rally might be setting up a second leg to that. The rules here would dictate if a second leg is coming it's often in capitulation form.
2023-10-24 18:36:56,https://www.tradingview.com/chart/chart/BIDU/fALVy6J4-A-good-opportunity/,"According to the butterfly pattern, we have come to a very good level. The goal of the movement is to update local maxima."
2023-10-25 11:23:16,https://www.tradingview.com/chart/chart/BOIL/pN7BUZmO-BOIL-Spring-and-Backtest-with-Hidden-Bullish-Divergence/,"BOIL is preparing to shift out of the range as it Bullishly Diverges on the MACD during its spring and backtest and shifts out of the lower RSI Extremes.   We may just get a move to $90  and call it there, but I do think it's possible to see the $150s if this setup truly does result in the absolute bottom."
2023-10-25 10:53:21,https://www.tradingview.com/chart/chart/TSLA/x22SJc1v-Day-Trader-s-Toolbox-Part-2-VWAP/,"Welcome to the Day Trader's Toolbox, a 3-Part series focused on enhancing your day trading skills.   In this second instalment, we delve into the intricacies of   VWAP (Volume Weighted Average Price)   , a versatile indicator that can help you navigate intra-day price action.   I. Understanding VWAP:   What is VWAP?   VWAP calculates the average price at which a security has traded during a specified period, usually a trading day. It is unique in that it combines both price and volume data to provide a weighted average, reflecting not just where a stock has traded but also the volume at each price level.   How to Add VWAP to Your Charts   TradingView make it easy to add VWAP to your charts. Simply type VWAP into the indicators search bar. The VWAP line will appear as a continuous line on your chart, indicating the average price levels for the day. It offers a moving average of the price throughout the day, with the line calculated using intraday price data from the market open to the close.   VWAP is typically viewed on day trading timeframes (5min and 1min candle charts). VWAP resets at the open of each day, for this reason VWAP tends to become more useful as the trading day progresses.   Heres how VWAP typically looks on your intraday price chart:   S&P 500 1min Candle Chart (Daily VWAP)   Past performance is not a reliable indicator of future results   II. 3 Ways to Use VWAP When Day Trading   1. Sentiment Analysis   VWAP is a powerful tool for analysing market sentiment, helping day traders understand the prevailing mood of the market. Here's how it works:   Bullish Sentiment:   When the current price of a stock is holding above the VWAP line, it is often interpreted as a sign of bullish sentiment. This suggests that, on average, traders are willing to pay prices higher than the average daily price - indicating that buyers are in control.   Bearish Sentiment:   Conversely, when the price of a stock is below the VWAP, it indicates bearish sentiment. In this scenario, traders are willing to pay prices lower than the average daily price, implying that sellers are in control.   Examples:   Price Holding Above VWAP (Tesla 1min Candle Chart)   Past performance is not a reliable indicator of future results   Price Holding Below VWAP (Tesla 1min Candle Chart)   Past performance is not a reliable indicator of future results   2. Trending Market: Dynamic Support and Resistance   In a trending market, where a stock is moving in a clear upward or downward direction, VWAP serves as dynamic support and resistance. Here's how day traders use VWAP in this context:   Dynamic Support:   When a stock consistently trades above the VWAP line, VWAP acts as a dynamic support level. This means that, on average, the price of the stock remains above the VWAP, indicating a positive sentiment. Traders can use VWAP as a reference point to enter long positions, set stop-loss orders just below it, and potentially ride the trend for further gains.   Dynamic Resistance:   Conversely, when a stock remains below the VWAP, VWAP acts as dynamic resistance. This suggests that the average trading price for the day is above the current price, signifying a bearish sentiment. Traders can use VWAP as a reference point for entering short positions and managing risk by setting stop-loss orders just above it.   In both cases, VWAP serves as a dynamic level that adapts to the intraday price movements, providing guidance on when to enter trades and where to place protective stops.   Examples:   VWAP Dynamic Support in Uptrend   Past performance is not a reliable indicator of future results   VWAP Dynamic Resistance in Downtrend in Uptrend   Past performance is not a reliable indicator of future results   Sideways Market: Spotting Market Extremes   VWAP can be particularly valuable in identifying extremes in a sideways or range-bound market. An upper and lower band can be placed 2 standard deviations above and below the VWAP line (click settings on your VWAP indicator on TradingView to add the bands). Here's how day traders use VWAP to spot market extremes:   Overextension Above VWAP:   When a stock's price significantly extends above the upper VWAP band, it signals that price is more than 2 standard deviations away from the true average price for that day  leaving the stock vulnerable to mean reversion. Day traders can interpret this as a potential market extreme, suggesting that the stock may be overbought in the short term. This could be a signal for traders to consider taking profits on long positions or potentially entering short positions, anticipating a mean-reversion move back toward the VWAP.   Overextension Below VWAP:   Conversely, when a stock's price significantly drops below the lower VWAP band, it could signal overselling or excessive bearish sentiment. In this case, day traders may view it as a potential market extreme, indicating that the stock may be undervalued in the short term. This could be a signal for traders to consider taking profits on short positions or potentially entering long positions, expecting a mean-reversion move back toward the VWAP.   Example:   VWAP bands signal extremes in sideways market   Past performance is not a reliable indicator of future results   In summary, VWAP, the Volume Weighted Average Price, is a valuable tool in a day trader's toolbox. It offers insights into market sentiment, dynamic support and resistance levels in trending markets, and extreme market conditions in sideways markets. As you continue your day trading journey, consider incorporating VWAP into your trading strategy to gain a deeper understanding of market dynamics.   Disclaimer: This is for information and learning purposes only. The information provided does not constitute investment advice nor take into account the individual financial circumstances or objectives of any investor. Any information that may be provided relating to past performance is not a reliable indicator of future results or performance."
2023-10-24 17:47:57,https://www.tradingview.com/chart/chart/AMD/e6jlj4yd-AMD-Free-Money-415-on-17-Nov/,Buy Alert AMD With Deep ITM Covered Call   Buy 100 Share at $ 100.10 and Sell Covered Call for $ 96 for for 17 Nov for $ 8.25 and collect $ 825   Analysis   Our pivot point is at 110.6.   Our preference   Under pressure below 110.6.   Alternative scenario   The upside breakout of 110.6 would call for 116.9 and 120.7.   Downside Bottom at $ 90.90 if stock drop to thsi price then we will close the covered call Hold share and buy same call for 15 March for Upside run   Keep printing $$$$$$$$$$
2023-10-25 13:37:41,https://www.tradingview.com/chart/chart/MARA/PiLCrBEd-MARA-Gap-Fill/,"Ive been building a position on this stock for several weeks, in anticipation that BTC will be the first to move on good news and catch up to equities as the crypto rally has been stagnant.   I was expecting this drop on MARA to come fill the gap created before we had a MASSIVE move of almost 100%.   This retracement will give us an idea whether or not MARA is drilling its floor and preparing for reversal, or further down side to come.   Furthermore, we do have a trend pattern, however to me it is not exactly clear whether it is a wedge or an up trend, as I would not want to short after such a retracement. To me, I am more concerned at zones of liquidity as we determine support and resistance."
